episode,start_block,start_time,detected,lead_blocks_achieved
2021-12-04,13737984,2021-12-04 05:16,False,
2022-01-21,14051342,2022-01-21 21:34,False,
2022-01-22,14053656,2022-01-22 05:56,False,
2022-01-22,14054635,2022-01-22 09:38,False,
2022-01-24,14067683,2022-01-24 10:04,False,
2022-01-24,14068412,2022-01-24 12:44,False,
terra,14741885,2022-05-09 10:24,False,
terra,14743414,2022-05-09 16:28,False,
terra,14756168,2022-05-11 17:27,False,
terra,14756756,2022-05-11 19:35,False,
terra,14757012,2022-05-11 20:34,False,
terra,14758690,2022-05-12 03:09,False,
terra,14758881,2022-05-12 03:55,True,50.0
terra,14802705,2022-05-19 03:39,True,34.0
terra,14846961,2022-05-26 08:25,False,
terra,14848123,2022-05-26 13:09,False,
terra,14939467,2022-06-10 16:30,False,
terra,14943324,2022-06-11 08:38,False,
terra,14944264,2022-06-11 12:33,False,
terra,14944888,2022-06-11 14:56,False,
terra,14947596,2022-06-12 02:01,False,
terra,14948322,2022-06-12 04:55,False,
terra,14951346,2022-06-12 17:19,False,
terra,14952913,2022-06-12 23:46,False,
terra,14953164,2022-06-13 00:47,False,
terra,14953649,2022-06-13 02:48,False,
terra,14954798,2022-06-13 07:38,False,
terra,14955257,2022-06-13 09:30,False,
terra,14955624,2022-06-13 10:56,False,
terra,14958526,2022-06-13 22:55,False,
terra,14959002,2022-06-14 00:48,False,
terra,14966356,2022-06-15 07:41,False,
terra,14983624,2022-06-18 06:53,False,
terra,14983915,2022-06-18 08:07,False,
terra,14986231,2022-06-18 17:36,False,
2022-07-10,15113040,2022-07-10 05:38,False,
2022-10-05,15679154,2022-10-05 03:14,False,
2022-10-05,15679910,2022-10-05 05:47,True,39.0
2022-10-05,15680254,2022-10-05 06:56,False,
2022-10-05,15680784,2022-10-05 08:42,False,
ftx,15931797,2022-11-09 10:12,False,
ftx,15935138,2022-11-09 21:27,True,27.0
2024-08-05,20458828,2024-08-05 00:38,False,
2025-03-11,22020081,2025-03-11 00:34,True,10.0
2025-04-06,22211539,2025-04-06 18:04,False,
2025-04-06,22212239,2025-04-06 20:25,False,
2025-04-07,22213400,2025-04-07 00:18,True,49.0
2025-04-07,22215183,2025-04-07 06:17,False,
2025-04-09,22227975,2025-04-09 01:10,False,
2025-05-18,22507958,2025-05-18 05:59,False,
2025-05-18,22509334,2025-05-18 10:39,False,
2025-05-19,22513883,2025-05-19 01:57,False,
2025-08-17,23164016,2025-08-17 23:18,False,
2025-11-02,23709180,2025-11-02 04:13,False,
2025-11-25,23878967,2025-11-25 23:08,False,
2025-11-26,23879841,2025-11-26 02:06,False,
2025-11-26,23880051,2025-11-26 02:49,False,
2025-12-03,23935713,2025-12-03 21:53,False,
2025-12-03,23935845,2025-12-03 22:23,False,
