,n_triggers,n_measurable,coverage_rate,n_mismatch,mismatch_rate,n_mismatch_exact,mismatch_rate_exact
aave_v2,49331.0,48235.0,0.9777827329670998,527.0,0.010925676376075465,1247.0,0.02585259666217477
OVERALL,49331.0,48235.0,0.9777827329670998,527.0,0.010925676376075465,1247.0,0.02585259666217477
