protocol,tx_hash,user,block_number,log_index,collateral_asset,debt_asset,health_factor,measurable,mismatch,cause
aave_v2,0x1f8064b3cab5f0ded525cf33cad6cb3d3ce53fb5e5436a0f02ad551a24c3bf79,0x64abc5b10c77d93be5038e7b4965d2f0d8279127,11701559,14,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x6b175474e89094c44da98b954eedeac495271d0f,1.1018322862817858,True,True,unexplained
aave_v2,0x128413f1a909e0889b722d0e1747b1a96983355a5fc3e058a0e170baa6754e36,0x3ed61895bc00f43d6dafb573d942eb672035edc1,11701609,204,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.2340012017190218,True,True,unexplained
aave_v2,0xfe634d48badb360409c540e8545b038719998f9abaee6a954fb9e592c470a89f,0x02e76c933b98c46fabd87fb30c14c7a623319bbe,11701947,78,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0000000000085d4780b73119b644ae5ecd22b376,1.1023322594098572,True,True,unexplained
aave_v2,0x0c20be95e2cff107e3c0b4dfaaaf2b5a0f39a4e09da5c37d7c8d4f5a68e0f03b,0x354c7682ffe97fb6a0fa6e13e2cf07cf92f054bb,11702119,144,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0246568120544306,True,True,unexplained
aave_v2,0x15bbab9ae1a30f3d66e6640b365def0d203185ec7922bfc06ed0948499b2be4b,0x6f54902bb9b1dca9ef8b30ee16372451dd8535f9,11706261,154,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd533a949740bb3306d119cc777fa900ba034cd52,1.1485142244726003,True,True,unexplained
aave_v2,0x0077290074fafc429b89197e437cc6482e2497c1e0ccc72952f1c543b4537c32,0x30cc8552fad6a705bbf543744746bec4b2fde2dd,11710147,119,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x514910771af9ca656af840dff83e8264ecf986ca,1.0690640087679244,True,True,unexplained
aave_v2,0x91bfc1f7b4e3c8a0c32f17311f804fde1c8158ef6ade54fa1370462ef43f63ec,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11727388,78,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.0500649676344669,True,True,unexplained
aave_v2,0xa619bfd3795ea4b0c09a3d39a3b0c50202abce3000ba018db68b585821fc11ab,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11731933,139,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0754668239085063,True,True,unexplained
aave_v2,0x1d2c369e3de926e256a75f2253bd64fbd2a8e54905efe3a2b29ba380dfb3d0e8,0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11735968,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.045074991005923,True,True,unexplained
aave_v2,0x341a48c958eb5a9f22ad3a76436b8474e26b9d00d3312bfb71cffb5df44f1bb3,0x85d2cc6e3c3fd8bd6ac259f8eea25698bd6e8704,11738277,101,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0944763452952742,True,True,unexplained
