user,block_number,log_index,our_hf,onchain_hf,onchain_confirms_mismatch,used_eth_numeraire,our_collateral_eth,our_debt_eth,onchain_collateral_eth,onchain_debt_eth,onchain_liquidation_threshold
0x8c09b0ed5bd98f8b9f0c263489613dabc0c3d831,24367545,24,1.0028770967739284,1.0000003276634613,True,True,0.13039270331032182,0.1137662987406069,0.13022291572306177,0.11393199163475602,0.8749
0xf105ffad6f9066b07193fc0e5afea275eff60d1a,14058315,123,1.0005422734832314,0.9958321213202964,False,True,1.8763851692691305,1.312757744773494,1.8763851692601938,1.3189669125562133,0.7
0x6d84264a7bd2cffa4a117ba2350403b3a9866949,11778109,163,1.0445749322620688,0.9753286550456505,False,True,11.97757872684394,9.520181225814863,11.183072963324836,9.520181154745229,0.8303
0x9e6e443d582585f55f6fca49edc5a6a94f47e8e8,20460471,169,1.0007138704899239,1.0018775096067818,True,True,10.993684439697885,9.092069780998221,10.995000673625185,9.082410245004475,0.8276
0x67f3d16a91991cf169920f1e79f78e66708da328,20458822,136,1.0025764899639351,0.9967101903509992,False,True,3.3742393517835687,2.8499423639748755,3.3744043806115998,2.8665385552621756,0.8467
0xffeef43ac3862d96cd0cb3370e99b4f48ea75346,20370853,259,1.0042152680898753,0.999874895851464,False,True,0.16722448064932394,0.14570722554983398,0.1667370819319607,0.14591320103724154,0.875
0xeaf6d79f27a6fbfee9ab5799da0787758de0b9d5,14791456,236,1.2077337626214488,0.9248911164795202,False,True,0.8162287076478295,0.47308447692421374,0.6250737572002156,0.47308447691187194,0.7
0xd9a3ea0acdb41a12e871482a8eef99a017e38bf4,13737159,316,1.017794619718238,0.9671032381668739,False,True,1.4035687831721873,0.9653206346212774,1.333663870378464,0.9653206321948411,0.7
0xb23a0c2b2fc1b3d0f29f1b443d8dc1513017939b,22220423,593,1.0082908277431366,0.9995957990156213,False,True,0.019994922985958525,0.017054240001779467,0.019994922980244044,0.017202587065635665,0.86
0xc6af628071cfb5d378df6f6f3b5e1abfe5bff2d7,12594697,56,1.0317731647146746,0.9968171807646046,False,True,1.5193213894433344,1.104400736305879,1.5193214072398866,1.1431294297675259,0.75
0x8f6d072ca42432692de973b788e89794d7db1037,22959060,22,1.0037686498254756,0.9979603555559748,False,True,0.02088336010122536,0.018204334327187138,0.020762518647527616,0.01820433418566563,0.875
0xb24a137e927458139da4941f07782851820c11e5,21970310,375,1.2338982938768193,0.9992179891562634,False,True,7.653093786869636,4.714783212416985,7.6820099545091,5.8467407850986355,0.7605
0x29c75014f0f5fb13c86704d6f02fa34ae5dc6272,11907373,115,1.1655438411593093,0.9910314182485794,False,True,77.7961311109043,50.35825847679097,77.2504698098618,58.93766751256096,0.7561
0x2c4ef3a24b1f38d848283c65b05b00987ee43fd8,11906748,234,1.0713491082020803,1.0018421162095683,True,True,632.9005788716418,446.31566422257555,632.900578516191,477.27718702630403,0.7555
